"cardcode";"tournee";"cardname"
"C01362";1001;"VINDEMIA DISTRIBUTION JUMBO SCORE STE MARIE"
"C00545";1001;"CARREFOUR STE SUZANNE (HYPERBAM)"
"C00547";1002;"210 - RUN MARKET SAVANNA - SAS MAKE DISTRIBUTION"
"C00548";1003;"230 - RUN MARKET CHAUDRON - SAS MAKE DISTRIBUTION"
"C00544";1003;"CARREFOUR HYPER SOREDECO"
"C00860";1004;"SUPERMARCHE LAM TOW SARL"
"C01373";1004;"VINDEMIA DISTRIBUTION SCORE ST PIERRE VILLE"
"C01371";1004;"VINDEMIA DISTRIBUTION SCORE 400"
"C01480";1004;"INTERMARK 10 EME / SARL TAK 10"
"C00010";1004;"INTERMARK 13EME"
"C00130";1004;"AH SOON SARL U EXPRESS 14EME"
"C01415";1004;"TAK 23 (TAK FILS SARL)"
"C00737";1005;"CARREFOUR HYPER CRACK"
"C00320";1005;"HYPER U LA CHATOIRE (CCT)"
"C01369";1005;"VINDEMIA DISTRIBUTION CARREFOUR GRAND LARGE ST PIERRE"
"C01367";1006;"VINDEMIA DISTRIBUTION CARREFOUR MARKET ST JOSEPH"
"C01391";1006;"AH TAK SA"
"C00650";1006;"HAN SARL U EXPRESS"
"C01374";1007;"VINDEMIA DISTRIBUTION CARREFOUR MARKET TERRE ROUGE"
"C01485";1007;"MARCHE U GEORGES (S. E. L. A. SARL)"
"C01368";1007;"VINDEMIA DISTRIBUTION CARREFOUR MARKET TROIS MARES"
"C00876";1007;"LEADER PRICE SALINE LES HAUTS (SCLF LAW WAI)"
"C01250";1008;"SAGES"
"C01283";1008;"SUPER U EPERON"
"C01352";1008;"VINDEMIA DISTRIBUTION CARREFOUR MARKET ST GILLES"
"C01350";1008;"VINDEMIA DISTRIBUTION CARREFOUR MARKET MONT ROQUEFEUIL"
"C01486";1008;"MARCHE U PLATEAU CAILLOUX"
"C00455";1008;"LEADER PRICE SAINT LEU (CLA)"
"C00475";1008;"SUPERMARCHE U PITON (STE CHONG ET ASSOCIES)"
"C01315";1008;"SUPERMARCHE DES AVIRONS (SOCOA)"
"C01305";1008;"SUPER U SOCOYONG"
"C01356";1008;"VINDEMIA DISTRIBUTION CARREFOUR MARKET ST LOUIS BEL AIR"
"C01359";1008;"VINDEMIA DISTRIBUTION CARREFOUR MARKET PLATEAU GOYAVE"
"C00285";1009;"MARCHE U ST BENOIT (CHANE FAT ALFRED)"
"C08829";1009;"SAS MAHDD"
"C00862";1009;"SD LA PLAINE"
"C00254";1009;"SD BEAUSEJOUR SAS"
"C01285";1010;"SEGA SAINT DENIS"
"C01370";1010;"VINDEMIA DISTRIBUTION CARREFOUR MARKET BELLEPIERRE"
"C00890";1010;"SAS SUPERMARCHE LAW WAI (BDN)/U EXPRESS"
"C01351";1011;"VINDEMIA DISTRIBUTION CARREFOUR MARKET CHATEL"
"C01366";1011;"VINDEMIA DISTRIBUTION CARREFOUR MARKET VAUBAN"
"C01355";1011;"VINDEMIA DISTRIBUTION CARREFOUR MARKET MOUFIA"
"C01357";1012;"VINDEMIA DISTRIBUTION CARREFOUR LE PORT"
"C01281";1013;"SUPER U ST PAUL"
"C01395";1013;"U EXPRESS LE PORT SOCOZ"
"C01410";1013;"U EXPRESS LE PORT CENTRE/SUPER L"
"C01364";1013;"VINDEMIA DISTRIBUTION CARREFOUR MARKET LE PORT"
"C01440";1013;"SUPER U LA RIVIERE (THIA KIME)"
"C01325";1013;"AUCHAN BEL AIR"
"C01282";1013;"SUPER U TROIS BASSINS"
"C00549";1014;"240 - RUN MARKET ST ANDRE - SAS MAKE DISTRIBUTION"
"c01413";1015;"LEADER PRICE ST ANDRE (benirdis)"
"C01280";1015;"SUPER U ST ANDRE"
"C01365";1015;"VINDEMIA DISTRIBUTION CARREFOUR ST BENOIT"
